Date,^125904-USD-STRD
2000-01-03,1536.35
2000-01-04,1498.15
2000-01-05,1465.84
2000-01-06,1460.55
2000-01-07,1484.98
2000-01-10,1502.71
2000-01-11,1497.91
2000-01-12,1492.8
2000-01-13,1501.99
2000-01-14,1516.47
2000-01-17,1521.6
2000-01-18,1490.49
2000-01-19,1484.91
2000-01-20,1482.38
2000-01-21,1472.53
2000-01-24,1469.8
2000-01-25,1449.41
2000-01-26,1458.58
2000-01-27,1460.47
2000-01-28,1445.53
2000-01-31,1415.48
2000-02-01,1430.97
2000-02-02,1449.56
2000-02-03,1487.5
2000-02-04,1482.28
2000-02-07,1466.4
2000-02-08,1512.45
2000-02-09,1519.1
2000-02-10,1507.8
2000-02-11,1504.56
2000-02-14,1484.46
2000-02-15,1462.41
2000-02-16,1480.93
2000-02-17,1497.77
2000-02-18,1489.16
2000-02-21,1475.67
2000-02-22,1500.3
2000-02-23,1517.57
2000-02-24,1508.09
2000-02-25,1511.06
2000-02-28,1476.51
2000-02-29,1487.64
2000-03-01,1514.51
2000-03-02,1543.86
2000-03-03,1552.78
2000-03-06,1565.27
2000-03-07,1546.33
2000-03-08,1527.74
2000-03-09,1550.0
2000-03-10,1555.75
2000-03-13,1522.64
2000-03-14,1519.37
2000-03-15,1492.88
2000-03-16,1522.0
2000-03-17,1526.75
2000-03-20,1544.99
2000-03-21,1547.41
2000-03-22,1536.68
2000-03-23,1542.07
2000-03-24,1576.54
2000-03-27,1572.13
2000-03-28,1571.14
2000-03-29,1545.27
2000-03-30,1511.16
2000-03-31,1521.87
2000-04-03,1494.93
2000-04-04,1499.89
2000-04-05,1483.56
2000-04-06,1506.14
2000-04-07,1524.02
2000-04-10,1523.78
2000-04-11,1498.72
2000-04-12,1490.37
2000-04-13,1488.69
2000-04-14,1449.33
2000-04-17,1427.7
2000-04-18,1437.1
2000-04-19,1443.89
2000-04-20,1451.64
2000-04-21,1451.64
2000-04-24,1451.82
2000-04-25,1447.43
2000-04-26,1455.77
2000-04-27,1425.63
2000-04-28,1453.02
2000-05-01,1448.25
2000-05-02,1474.21
2000-05-03,1427.67
2000-05-04,1424.9
2000-05-05,1429.65
2000-05-08,1421.41
2000-05-09,1410.94
2000-05-10,1396.05
2000-05-11,1409.07
2000-05-12,1431.95
2000-05-15,1431.44
2000-05-16,1444.26
2000-05-17,1402.61
2000-05-18,1408.64
2000-05-19,1364.57
2000-05-22,1357.15
2000-05-23,1371.83
2000-05-24,1357.18
2000-05-25,1385.32
2000-05-26,1398.34
2000-05-29,1413.46
2000-05-30,1440.64
2000-05-31,1439.49
2000-06-01,1462.86
2000-06-02,1519.85
2000-06-05,1506.73
2000-06-06,1518.69
2000-06-07,1506.04
2000-06-08,1502.26
2000-06-09,1496.22
2000-06-12,1500.85
2000-06-13,1506.98
2000-06-14,1520.83
2000-06-15,1502.24
2000-06-16,1507.83
2000-06-19,1502.13
2000-06-20,1509.29
2000-06-21,1481.94
2000-06-22,1466.48
2000-06-23,1459.86
2000-06-26,1460.72
2000-06-27,1460.32
2000-06-28,1468.49
2000-06-29,1443.66
2000-06-30,1468.66
2000-07-03,1481.54
2000-07-04,1478.54
2000-07-05,1477.97
2000-07-06,1481.35
2000-07-07,1496.59
2000-07-10,1497.11
2000-07-11,1493.06
2000-07-12,1494.35
2000-07-13,1487.85
2000-07-14,1494.91
2000-07-17,1499.62
2000-07-18,1482.19
2000-07-19,1470.4
2000-07-20,1481.03
2000-07-21,1469.99
2000-07-24,1473.36
2000-07-25,1480.43
2000-07-26,1481.17
2000-07-27,1453.98
2000-07-28,1431.26
2000-07-31,1443.55
2000-08-01,1441.1
2000-08-02,1426.96
2000-08-03,1396.19
